"Country";"Year";"BCF Gas"
Germany;2008;531,38481
Germany;2009;467,21745
Germany;2010;722,96868
Germany;2011;621,68526
Germany;2012;640,155
Russia;2008;8257,3533
Russia;2009;7040,04525
Russia;2010;7407,32125
Russia;2011;8008,198
Russia;2012;7371,629
United Kingdom;2008;406,1225
United Kingdom;2009;429,78355
United Kingdom;2010;552,67975
United Kingdom;2011;563,6274
United Kingdom;2012;423,0737
United States;2008;963
United States;2009;1072
United States;2010;1137
United States;2011;1506
United States;2012;1619
